"Symbol","Description","Date","Time","Open","High","Low","Close","TotalVolume"
AAPL,NASDAQ,02.01.2020,08:01:00,295.89,296.75,295.435,296.7,175410
AAPL,NASDAQ,02.01.2020,09:00:00,296.65,297.95,295.19,297.7,4946710
AAPL,NASDAQ,02.01.2020,10:00:00,297.69,298.41,296.595,298.279,5379949
AAPL,NASDAQ,02.01.2020,11:00:00,298.286,298.75,297.45,298.3,3676614
AAPL,NASDAQ,02.01.2020,12:00:00,298.33,298.8,298.05,298.67,2169338
AAPL,NASDAQ,02.01.2020,13:00:00,298.664,298.73,298.1,298.382,1770412
AAPL,NASDAQ,02.01.2020,14:00:00,298.385,299.12,298.06,299.05,2575864
AAPL,NASDAQ,02.01.2020,15:00:00,299.045,300.42,299.04,300.4,5279904
AAPL,NASDAQ,02.01.2020,16:00:00,300.4,300.93,300.32,300.9,3080066
AAPL,NASDAQ,02.01.2020,17:00:00,300.9,300.94,300.7,300.76,38567
AAPL,NASDAQ,02.01.2020,18:02:00,300.85,300.9,300.76,300.85,5987
AAPL,NASDAQ,03.01.2020,08:01:00,298.01,298.6,295.65,297.45,414879
AAPL,NASDAQ,03.01.2020,09:00:00,297.49,300.57,296.5,299.246,6965142
AAPL,NASDAQ,03.01.2020,10:00:00,299.246,299.6,297.6,298.7,4796868
AAPL,NASDAQ,03.01.2020,11:00:00,298.7,299.84,297.94,299.345,3200014
AAPL,NASDAQ,03.01.2020,12:00:00,299.341,300.58,299.27,300.25,3013558
AAPL,NASDAQ,03.01.2020,13:00:00,300.258,300.39,298.77,299.302,2603616
AAPL,NASDAQ,03.01.2020,14:00:00,299.29,299.94,298.83,299.855,1848592
AAPL,NASDAQ,03.01.2020,15:00:00,299.84,300.04,297.53,297.813,4569190
AAPL,NASDAQ,03.01.2020,16:00:00,297.81,298.01,297.35,297.52,3927722
AAPL,NASDAQ,03.01.2020,17:04:00,297.65,297.66,297.47,297.65,26803
AAPL,NASDAQ,03.01.2020,18:00:00,297.6,297.69,297.6,297.66,6074
AAPL,NASDAQ,06.01.2020,08:01:00,295.05,295.5,294.28,294.61,267822
AAPL,NASDAQ,06.01.2020,09:00:00,294.52,296.99,292.75,296.975,5510609
AAPL,NASDAQ,06.01.2020,10:00:00,296.97,298.239,296.225,298.04,3987214
AAPL,NASDAQ,06.01.2020,11:00:00,298.06,299.64,297.65,298.44,3614555
AAPL,NASDAQ,06.01.2020,12:00:00,298.44,298.53,297.14,298.05,2309456
AAPL,NASDAQ,06.01.2020,13:00:00,298.03,299.37,298.01,299.24,1855989
AAPL,NASDAQ,06.01.2020,14:00:00,299.25,299.96,298.98,299.383,2379228
AAPL,NASDAQ,06.01.2020,15:00:00,299.395,299.87,298.94,299.82,3282832
AAPL,NASDAQ,06.01.2020,16:00:00,299.81,299.88,299.3,299.8,1698619
AAPL,NASDAQ,06.01.2020,17:00:00,299.57,299.69,299.44,299.5,25236
AAPL,NASDAQ,06.01.2020,18:00:00,299.44,299.56,299.41,299.5,1565
AAPL,NASDAQ,07.01.2020,08:01:00,299.99,300.6,299.39,299.5,180522
AAPL,NASDAQ,07.01.2020,09:00:00,299.591,300.9,297.75,298.98,4901492
AAPL,NASDAQ,07.01.2020,10:00:00,298.987,299.57,297.48,299.546,4190034
AAPL,NASDAQ,07.01.2020,11:00:00,299.545,299.883,298.55,298.99,2570834
AAPL,NASDAQ,07.01.2020,12:00:00,298.98,299.65,298.65,299.517,1584982
AAPL,NASDAQ,07.01.2020,13:00:00,299.51,300.41,299.5,299.96,1777250
AAPL,NASDAQ,07.01.2020,14:00:00,299.96,300.1,298.96,298.99,1622351
AAPL,NASDAQ,07.01.2020,15:00:00,298.99,299.564,297.95,298.15,2934721
AAPL,NASDAQ,07.01.2020,16:00:00,298.16,298.39,297.39,297.84,2414990
AAPL,NASDAQ,07.01.2020,17:00:00,297.86,298.39,297.7,297.85,14511
AAPL,NASDAQ,07.01.2020,18:01:00,297.76,298,295.42,296,69819
AAPL,NASDAQ,08.01.2020,08:01:00,297.7,299.13,297.55,298.18,180139
AAPL,NASDAQ,08.01.2020,09:00:00,298.015,299.1,296.93,298.25,3316215
AAPL,NASDAQ,08.01.2020,10:00:00,298.23,298.76,297.37,297.88,2782700
AAPL,NASDAQ,08.01.2020,11:00:00,297.878,300.21,297.5,300.05,4325850
AAPL,NASDAQ,08.01.2020,12:00:00,300.053,303.04,300.01,302.735,5067638
AAPL,NASDAQ,08.01.2020,13:00:00,302.736,303.23,302.4,302.57,2410418
AAPL,NASDAQ,08.01.2020,14:00:00,302.599,303.09,302.49,303.06,1668585
AAPL,NASDAQ,08.01.2020,15:00:00,303.08,304.44,302.24,303.01,5416812
AAPL,NASDAQ,08.01.2020,16:00:00,303.005,303.69,302.46,303.58,2800810
AAPL,NASDAQ,08.01.2020,17:00:00,303.58,303.58,303.28,303.34,18370
AAPL,NASDAQ,08.01.2020,18:01:00,303.36,303.88,303.32,303.87,26123
AAPL,NASDAQ,09.01.2020,08:01:00,306,307.1,305.54,306.75,224119
AAPL,NASDAQ,09.01.2020,09:00:00,306.75,308.899,306.65,308.01,6897818
AAPL,NASDAQ,09.01.2020,10:00:00,308.04,309.46,307.42,309.373,5100418
AAPL,NASDAQ,09.01.2020,11:00:00,309.37,310.43,308.98,309.972,5144824
AAPL,NASDAQ,09.01.2020,12:00:00,309.97,310.03,306.2,307.396,5907550
AAPL,NASDAQ,09.01.2020,13:00:00,307.38,309.85,307.37,309.124,4302413
AAPL,NASDAQ,09.01.2020,14:00:00,309.1,309.49,308.73,309.095,2358973
AAPL,NASDAQ,09.01.2020,15:00:00,309.092,309.72,308.25,309.49,4129668
AAPL,NASDAQ,09.01.2020,16:00:00,309.48,309.8,309.42,309.74,2656804
AAPL,NASDAQ,09.01.2020,17:00:00,309.75,309.79,309.63,309.78,34914
AAPL,NASDAQ,09.01.2020,18:00:00,309.78,310.4,309.78,310.28,35366
AAPL,NASDAQ,10.01.2020,08:01:00,312.18,312.34,310,310.8,402469
AAPL,NASDAQ,10.01.2020,09:00:00,310.8,311.99,309.7,311.923,5404024
AAPL,NASDAQ,10.01.2020,10:00:00,311.95,312.67,311.67,312.1,5152792
AAPL,NASDAQ,10.01.2020,11:00:00,312.12,312.33,310.44,311.24,3847128
AAPL,NASDAQ,10.01.2020,12:00:00,311.25,311.29,308.25,309.82,4789801
AAPL,NASDAQ,10.01.2020,13:00:00,309.81,310.94,309.7,310.714,2136869
