"Symbol","Description","Date","Time","Open","High","Low","Close","TotalVolume"
AAPL,NASDAQ,02.01.2020,09:33:00,295.49,295.81,295.19,295.705,172261
AAPL,NASDAQ,02.01.2020,17:01:00,300.94,300.94,300.9,300.9,518
AAPL,NASDAQ,03.01.2020,08:01:00,298.01,298.19,295.65,298.05,123836
AAPL,NASDAQ,03.01.2020,12:52:00,300.5,300.58,300.243,300.243,96290
AAPL,NASDAQ,06.01.2020,09:31:00,293.79,293.99,292.75,293.637,1221180
AAPL,NASDAQ,06.01.2020,14:15:00,299.86,299.96,299.8,299.93,57542
AAPL,NASDAQ,07.01.2020,18:29:00,295.5,295.7,295.42,295.6,13663
AAPL,NASDAQ,07.01.2020,09:35:00,300.57,300.9,300.57,300.85,166010
AAPL,NASDAQ,08.01.2020,09:30:00,297.23,297.27,296.93,297.17,17904
AAPL,NASDAQ,08.01.2020,15:42:00,304.41,304.44,304.23,304.27,136397
AAPL,NASDAQ,09.01.2020,08:01:00,306,306.58,305.54,306.26,38713
AAPL,NASDAQ,09.01.2020,11:51:00,310.32,310.43,310.09,310.305,163116
AAPL,NASDAQ,10.01.2020,12:25:00,308.396,308.48,308.25,308.471,104386
AAPL,NASDAQ,10.01.2020,10:07:00,312.593,312.67,312.44,312.571,129843
AAPL,NASDAQ,13.01.2020,10:45:00,311.455,311.48,311.15,311.33,92824
AAPL,NASDAQ,13.01.2020,18:24:00,317.78,317.79,317.65,317.7,1143
AAPL,NASDAQ,14.01.2020,18:28:00,312.24,312.24,312.13,312.15,2388
AAPL,NASDAQ,14.01.2020,08:01:00,317.02,317.77,316.49,317.25,62837
AAPL,NASDAQ,15.01.2020,15:34:00,310.145,310.16,309.55,309.68,472364
AAPL,NASDAQ,15.01.2020,10:01:00,315.357,315.5,314.94,315.06,178572
AAPL,NASDAQ,16.01.2020,11:24:00,312.4,312.438,312.09,312.262,71588
AAPL,NASDAQ,16.01.2020,10:11:00,315.549,315.7,315.446,315.52,91068
AAPL,NASDAQ,17.01.2020,11:15:00,315.4,315.47,315,315.2,153790
AAPL,NASDAQ,17.01.2020,16:06:00,318.75,318.78,318.74,318.75,7324
AAPL,NASDAQ,21.01.2020,15:59:00,316.36,316.73,316,316.64,230006
AAPL,NASDAQ,21.01.2020,10:02:00,318.56,319.02,318.56,318.927,178576
AAPL,NASDAQ,22.01.2020,16:47:00,317.3,317.35,317.2,317.2,2225
AAPL,NASDAQ,22.01.2020,14:59:00,319.96,319.99,319.9,319.939,72204
AAPL,NASDAQ,23.01.2020,09:37:00,316.23,316.33,315.65,316.19,148463
AAPL,NASDAQ,23.01.2020,18:04:00,319.73,319.75,319.73,319.74,2845
AAPL,NASDAQ,24.01.2020,15:44:00,317.61,317.7,317.519,317.64,82877
AAPL,NASDAQ,24.01.2020,11:09:00,323.15,323.33,323.13,323.2,130858
AAPL,NASDAQ,27.01.2020,16:00:00,309.02,309.23,304.88,308.96,308930
AAPL,NASDAQ,27.01.2020,08:01:00,311.2,312.4,310.62,311.33,63659
AAPL,NASDAQ,28.01.2020,08:01:00,311.9,312.9,311.2,312.31,81699
AAPL,NASDAQ,28.01.2020,16:33:00,326.31,327.9,326.25,327.2,322905
AAPL,NASDAQ,29.01.2020,10:06:00,321.95,322.31,321.38,322.306,245065
AAPL,NASDAQ,29.01.2020,14:05:00,327.44,327.85,327.39,327.8,268426
AAPL,NASDAQ,30.01.2020,11:01:00,318.98,319.507,318.75,319.383,217194
AAPL,NASDAQ,30.01.2020,16:03:00,324.5,324.76,324.42,324.56,5131
AAPL,NASDAQ,31.01.2020,15:44:00,308.64,309.63,308.29,309.35,382718
AAPL,NASDAQ,31.01.2020,08:01:00,322.32,322.75,322,322.3,31296
AAPL,NASDAQ,03.02.2020,09:31:00,304.29,304.32,302.22,303.441,1926687
AAPL,NASDAQ,03.02.2020,11:41:00,313.08,313.49,312.89,313.42,119602
AAPL,NASDAQ,04.02.2020,08:36:00,315.48,315.48,308.66,315.41,30395
